role,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
breeder,5,4,6,3,4,2,6,6,6,3,1,3,3,6,1,1,6,3,5,2,5,4,3,6,4,3,6,4,6,6
breeder,4,10,4,10,5,2,4,3,5,3,3,5,1,1,6,0,3,6,4,10,7,4,2,4,3,4,5,5,8,6
worker,18,14,12,14,16,9,16,11,11,20,14,22,17,12,13,16,22,15,14,22,11,20,15,18,15,16,17,20,16,6
worker,22,32,41,26,34,29,53,33,32,32,25,29,25,31,36,30,36,24,34,35,39,29,36,43,33,30,29,31,34,42
worker,32,15,19,21,31,30,28,22,21,26,25,20,27,20,17,23,21,23,35,30,21,14,20,22,35,20,25,19,32,19
soldier,10,16,24,9,14,11,25,10,12,20,11,13,19,13,17,17,18,17,9,10,17,15,15,15,13,26,15,19,14,14
breeder,4,6,7,4,7,5,5,5,3,5,5,8,5,7,5,8,6,6,7,5,3,2,4,5,6,8,4,6,7,9
soldier,8,7,15,11,11,7,9,8,6,13,11,10,10,11,12,9,12,11,9,12,9,10,15,15,18,8,10,14,9,10
soldier,6,11,14,12,11,13,17,11,9,13,11,11,13,11,14,16,12,14,18,11,11,17,23,27,10,14,10,18,20,10
soldier,16,14,19,4,12,16,10,16,15,21,7,17,13,15,22,9,7,22,13,12,13,16,8,20,19,11,13,15,10,10
soldier,17,25,20,25,12,20,22,16,18,20,15,22,14,11,20,11,21,25,19,22,20,12,20,18,18,21,19,14,28,20
breeder,8,2,4,4,5,10,4,4,3,6,6,4,1,4,3,3,7,6,3,1,4,1,4,7,5,5,3,6,4,2
worker,18,23,22,39,35,29,24,24,23,33,25,30,15,23,29,26,42,24,19,22,28,30,20,28,28,28,37,29,25,33
soldier,8,19,9,11,18,12,23,12,8,15,11,10,15,11,8,13,14,13,14,8,13,11,12,18,18,13,13,14,10,14
soldier,26,26,21,18,22,12,29,13,19,27,27,24,20,18,26,23,28,24,20,33,21,18,29,26,22,19,22,26,37,26
worker,48,40,39,29,44,34,61,37,40,38,27,36,36,31,51,42,48,38,44,47,30,29,36,49,38,38,37,27,47,26
breeder,5,6,3,6,8,7,3,4,4,3,3,4,4,7,6,5,5,5,4,9,8,4,6,4,8,6,3,11,7,6
breeder,11,9,16,10,8,9,17,8,16,8,11,15,16,9,10,13,19,12,12,5,12,6,13,16,13,13,21,13,16,13
worker,26,26,20,20,30,27,36,26,29,35,16,37,22,24,25,26,26,20,29,24,20,22,31,28,31,22,26,25,36,32
breeder,7,5,6,6,2,7,8,6,8,6,1,3,6,3,6,6,10,9,5,6,5,7,10,8,8,3,12,11,10,4
breeder,2,8,3,3,8,6,7,8,1,11,6,3,4,7,9,7,11,8,8,4,9,9,1,6,2,8,10,8,5,7
soldier,10,7,2,7,10,8,12,9,13,10,14,12,7,10,6,5,10,7,15,7,12,11,11,6,14,8,16,9,11,12
soldier,8,13,14,18,8,7,18,13,12,6,8,19,5,18,8,10,16,8,12,11,15,16,15,15,9,5,12,13,11,8
worker,24,18,22,26,28,23,25,24,14,15,22,30,23,18,20,27,23,25,27,35,22,17,19,23,21,18,19,22,27,21
breeder,6,9,6,13,7,4,8,5,7,6,8,2,8,3,7,10,7,9,11,10,4,8,7,7,5,5,6,10,8,12
breeder,10,8,6,13,13,17,7,6,11,9,9,9,5,8,14,13,12,6,9,8,4,10,11,10,7,11,12,10,6,7
breeder,3,4,6,6,4,5,3,4,6,3,8,8,3,8,5,4,9,5,3,7,4,2,2,4,5,8,2,5,3,5
breeder,5,12,13,10,13,12,13,12,6,16,11,8,8,6,11,6,9,8,9,15,7,9,7,13,8,11,10,6,15,12
worker,28,28,19,32,29,37,32,26,30,30,31,49,30,31,31,25,35,22,34,29,35,28,30,40,31,34,32,31,22,27
worker,26,25,33,35,31,30,40,19,24,26,25,40,25,26,29,32,24,29,28,33,27,27,30,35,38,30,26,31,30,30
worker,22,16,8,17,16,18,12,11,18,10,16,15,16,9,14,13,12,11,9,12,13,12,11,14,15,17,14,12,15,11
worker,26,27,27,24,23,35,27,28,27,30,29,22,18,29,30,24,43,25,31,30,17,31,35,32,28,30,35,29,37,39
worker,30,40,30,39,38,33,38,38,39,45,33,42,35,33,45,38,37,45,38,51,49,38,34,49,35,40,39,46,47,40
worker,31,49,40,35,39,46,46,32,25,25,43,48,30,34,41,34,45,26,39,33,25,45,38,40,41,28,29,44,40,37
soldier,9,20,9,18,18,19,28,11,14,11,19,16,11,10,15,12,18,9,15,15,15,11,16,12,16,14,11,14,18,13
soldier,12,9,6,13,7,13,13,12,6,9,12,17,10,4,10,7,14,10,8,10,17,8,12,9,17,13,9,13,9,7
soldier,6,11,8,13,12,20,13,11,10,8,14,9,13,10,11,8,7,18,16,9,10,13,16,6,7,11,10,9,11,7
soldier,7,8,5,7,11,11,6,14,6,9,6,9,3,6,8,8,10,8,6,9,12,8,4,6,6,5,7,7,11,6
soldier,14,12,8,10,8,12,15,9,10,12,7,11,13,8,10,11,11,8,11,8,7,8,7,10,4,11,13,10,14,8
worker,43,62,50,58,51,58,55,48,33,48,41,70,42,30,55,40,57,36,64,46,28,43,37,40,50,47,61,52,53,34
worker,20,16,18,15,16,20,33,28,17,18,14,24,17,22,27,10,21,25,13,13,11,13,12,28,21,17,20,16,16,20
soldier,10,18,16,11,23,14,14,15,10,20,11,16,11,13,21,4,12,12,20,16,15,13,11,18,11,14,20,13,19,15
soldier,15,16,13,13,14,15,29,12,14,17,13,23,10,20,19,18,26,22,16,14,22,20,16,23,16,18,24,20,18,20
breeder,1,5,7,3,0,2,5,1,4,4,5,3,7,8,6,5,4,1,4,3,2,3,10,4,2,9,3,5,7,1
soldier,18,22,29,26,21,21,19,17,13,20,13,23,11,19,21,20,23,18,16,27,14,20,24,31,22,13,24,25,31,26
soldier,14,8,7,12,11,19,13,12,11,9,8,13,9,11,10,14,11,6,12,12,8,12,13,16,12,10,11,12,12,8
breeder,3,7,1,4,2,4,7,8,6,8,4,11,8,6,9,4,7,7,3,7,3,8,8,9,8,10,9,10,10,8
soldier,11,13,13,11,13,20,7,13,11,11,8,9,13,14,14,10,22,11,6,19,12,6,12,12,12,9,5,14,13,9
worker,46,44,45,48,37,46,53,38,49,47,37,57,41,36,35,43,49,46,42,49,41,35,45,54,39,30,61,49,45,41
worker,13,28,23,17,20,24,24,17,23,22,15,25,23,22,22,16,26,15,25,24,24,15,25,16,23,6,19,18,20,21
worker,17,14,20,25,17,19,23,18,20,16,21,25,18,18,19,19,20,18,26,30,19,16,21,26,23,15,18,24,18,15
soldier,7,8,10,12,6,11,15,8,10,8,14,17,11,12,7,10,15,8,14,12,9,10,10,14,9,13,12,14,9,7
breeder,5,4,2,6,8,4,5,6,6,6,7,9,1,8,4,6,7,6,4,8,5,5,3,5,6,4,7,7,3,6
breeder,0,10,7,8,5,5,9,10,6,6,3,13,2,5,8,13,4,5,5,8,7,5,4,7,4,2,4,2,3,8
breeder,3,5,4,2,7,2,4,4,2,4,1,1,1,1,5,4,4,4,7,5,9,1,4,2,4,3,3,3,0,5
worker,15,10,15,11,13,17,12,17,12,18,15,14,11,14,18,12,18,15,9,22,12,16,14,24,21,18,12,15,13,8
breeder,3,8,8,8,9,5,8,5,4,9,7,12,4,7,6,9,2,2,7,7,8,9,4,7,2,5,9,5,4,5
worker,29,25,22,22,26,28,25,24,31,25,23,27,26,23,26,24,24,20,24,27,15,23,24,25,34,23,26,23,31,31
soldier,13,10,10,11,16,16,9,13,14,14,16,14,14,8,13,12,11,10,12,13,15,14,13,14,8,11,22,16,12,11
soldier,5,15,10,12,8,10,7,8,10,7,6,12,6,5,9,17,7,9,14,17,16,8,9,20,10,6,16,10,18,9
breeder,6,11,5,10,6,8,7,11,7,5,5,11,4,9,9,6,9,6,9,8,10,6,5,10,8,4,7,7,7,10
breeder,6,10,6,2,4,8,7,11,7,9,10,10,11,6,6,8,7,10,9,6,8,5,6,11,13,6,9,11,8,6
worker,18,35,30,25,38,32,41,31,27,35,31,23,30,25,33,19,32,40,31,35,18,30,38,30,39,29,38,34,34,28
soldier,14,10,12,16,23,10,19,7,18,20,7,21,11,13,14,24,16,16,9,17,14,7,12,18,14,10,18,7,12,17
breeder,4,7,6,6,2,7,6,3,2,5,5,5,5,7,6,6,6,5,4,10,6,1,7,4,7,4,9,6,4,5
soldier,1,8,8,8,15,8,4,2,8,3,6,3,4,12,12,8,9,4,14,7,7,5,8,9,7,8,8,4,6,8
breeder,4,3,1,3,1,4,3,5,6,2,1,7,1,4,6,3,1,2,9,4,4,1,4,8,3,9,2,4,8,2
soldier,21,20,15,22,24,18,20,18,16,17,22,17,17,23,20,19,31,20,23,21,19,15,23,33,14,18,22,24,23,24
breeder,4,7,6,7,10,6,6,10,4,10,7,8,2,6,5,7,6,10,6,3,9,4,9,7,5,5,9,6,9,5
breeder,9,5,3,3,4,2,3,6,8,7,3,2,8,2,3,3,6,1,3,5,4,4,5,5,7,2,4,6,8,4
soldier,8,8,12,5,4,9,9,8,15,7,9,7,7,7,6,7,10,10,4,7,15,7,8,13,8,8,7,9,14,8
worker,17,10,15,17,17,15,20,9,17,17,19,20,18,18,15,12,23,23,20,13,11,11,23,21,23,21,16,18,21,17
breeder,2,4,3,5,4,2,5,4,9,6,2,3,6,2,4,4,10,1,4,3,5,5,6,3,10,5,6,2,8,7
breeder,4,9,4,8,3,6,5,3,7,3,4,4,2,4,5,2,6,3,8,7,4,7,8,3,7,4,9,6,8,11
breeder,8,10,8,8,4,8,5,6,9,6,4,9,8,11,8,6,6,6,10,8,4,7,6,10,9,8,9,6,8,8
soldier,21,19,17,16,11,17,16,14,13,23,13,15,20,25,17,17,20,15,18,18,17,20,18,14,10,17,13,13,27,11
breeder,4,6,2,9,2,2,4,4,4,4,2,4,3,2,5,5,2,6,6,6,1,4,4,3,5,2,4,2,7,3
breeder,8,6,9,11,9,8,12,2,7,6,13,3,9,9,7,9,11,9,9,13,6,6,5,9,9,10,4,12,8,4
worker,29,38,20,36,17,30,42,26,28,20,33,30,23,36,22,31,36,37,30,21,17,26,27,27,26,29,16,25,34,28
worker,19,19,10,15,21,26,28,24,18,24,12,13,20,5,16,20,21,9,22,22,12,14,18,20,7,11,11,20,14,18
worker,16,20,14,21,25,24,22,16,22,22,16,20,21,17,20,13,31,19,16,23,14,19,15,32,18,17,19,22,23,15
breeder,5,4,6,2,8,6,3,3,5,8,5,6,3,6,8,7,6,7,4,4,5,3,6,3,5,7,9,1,4,4
breeder,2,4,4,6,0,4,3,1,3,3,4,2,5,5,2,5,5,2,1,3,1,1,5,6,3,2,4,2,5,1
