role,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
breeder,7,4,6,4,4,3,2,11,5,5,7,4,10,9,11,2,5,5,11,2,6,7,5,6,4,10,5,7,7,11
breeder,5,6,9,3,11,7,5,4,3,6,6,9,6,3,7,9,6,6,4,3,5,3,5,8,5,6,4,9,8,5
soldier,18,17,16,20,18,20,26,23,13,12,15,23,14,13,15,22,20,21,16,19,13,13,11,18,19,25,21,18,23,17
soldier,13,16,27,9,14,16,15,19,15,17,15,10,13,14,11,19,15,21,22,19,16,10,20,21,9,18,20,17,19,21
worker,21,21,18,27,31,17,19,19,20,23,21,19,25,27,20,20,29,24,23,24,17,28,23,19,17,28,31,31,21,23
breeder,8,9,8,9,9,6,15,7,11,5,7,10,10,4,13,10,8,5,8,4,8,5,7,6,6,11,6,3,7,8
worker,28,21,21,23,29,19,33,9,23,23,19,30,23,27,21,23,22,27,28,20,26,18,26,23,14,27,24,40,30,22
soldier,12,13,13,13,17,9,21,19,13,18,10,14,16,4,14,19,10,12,10,22,9,15,19,15,10,14,15,13,17,13
worker,27,33,47,30,42,28,22,29,26,39,30,37,37,32,32,35,36,23,24,41,38,33,39,36,28,34,28,48,37,35
worker,21,21,28,33,32,19,19,33,22,27,22,21,20,19,22,16,33,32,22,24,24,28,24,26,22,23,25,29,26,26
soldier,18,14,16,12,13,26,19,17,11,16,13,11,9,16,16,18,18,17,19,8,23,18,17,17,10,16,20,22,17,11
worker,21,18,32,39,29,23,32,29,18,40,14,21,26,26,22,30,20,31,18,28,23,33,28,36,25,29,34,33,33,31
worker,25,29,37,21,18,25,25,14,18,21,22,26,22,23,22,23,30,22,23,12,18,15,24,29,19,19,30,28,27,21
worker,26,22,30,23,31,23,24,24,23,28,27,27,27,23,21,14,21,21,24,30,22,18,31,21,25,33,23,31,23,20
breeder,1,3,9,7,7,2,9,7,5,2,3,9,9,9,5,4,5,4,4,3,5,8,6,8,3,6,5,7,3,11
worker,21,29,32,30,24,17,32,24,27,27,31,31,34,28,24,31,22,27,25,26,32,25,36,28,25,30,33,34,24,36
breeder,5,6,10,5,6,4,7,4,4,2,9,3,6,9,4,4,8,8,5,8,6,4,10,12,5,8,7,7,8,6
breeder,12,8,14,6,11,11,15,10,7,8,6,9,8,10,12,6,9,9,10,7,13,7,13,10,6,2,10,13,7,10
worker,20,25,23,27,24,29,27,24,28,28,25,25,23,18,23,20,27,30,22,25,13,20,39,22,31,31,44,34,26,28
soldier,21,11,18,18,16,20,24,16,18,15,19,13,25,26,22,18,23,24,17,17,21,10,14,15,11,22,20,17,25,18
breeder,7,11,4,5,8,5,4,6,4,5,9,7,13,8,7,5,6,3,6,6,6,7,6,6,6,7,5,6,10,7
breeder,5,3,5,3,5,3,5,3,2,3,4,1,3,4,7,7,3,3,4,6,4,6,4,10,4,6,4,4,5,8
soldier,14,12,17,21,18,15,14,20,13,17,12,13,12,16,17,28,19,13,19,15,18,16,15,16,15,18,21,28,18,22
worker,16,33,47,27,42,34,20,40,32,33,25,27,26,25,26,25,45,24,24,32,33,37,26,24,24,27,25,34,31,27
worker,30,25,40,28,30,23,24,24,22,25,24,27,23,19,13,23,34,31,29,25,25,26,23,32,17,29,37,29,22,25
breeder,6,3,5,4,3,10,5,5,7,6,12,6,4,5,9,10,6,3,10,4,7,6,5,4,5,9,6,10,7,9
breeder,3,5,8,3,2,7,4,6,7,5,8,7,4,6,6,8,7,6,5,4,5,3,5,6,5,8,4,3,8,6
soldier,11,18,20,13,20,12,9,17,17,10,13,21,16,21,14,18,17,23,14,14,21,11,10,19,13,20,20,20,15,25
worker,28,21,18,31,25,33,28,30,15,28,23,22,23,24,24,29,28,26,29,21,21,24,24,23,24,37,25,47,26,27
soldier,10,19,20,12,16,10,17,17,8,19,14,16,6,11,17,11,10,14,10,19,15,17,14,11,14,12,19,19,14,10
worker,14,24,32,22,32,20,19,27,19,28,18,31,16,33,34,24,24,29,23,19,25,24,25,28,24,28,25,31,28,30
soldier,16,15,16,9,22,13,14,9,14,11,14,11,13,13,18,21,20,22,13,15,13,19,19,9,10,19,21,14,14,24
worker,29,27,37,37,35,32,33,31,24,25,13,32,27,30,28,39,24,32,29,22,25,25,37,38,27,36,26,34,27,27
breeder,3,5,5,11,7,8,9,7,7,4,6,8,9,9,9,6,7,11,7,7,5,6,8,6,7,7,5,4,8,5
breeder,1,7,6,6,4,7,9,6,7,9,6,4,5,7,5,5,6,2,5,8,8,9,4,7,6,4,5,5,5,5
soldier,10,10,13,11,8,10,16,11,13,12,15,14,20,9,8,9,13,15,15,11,12,13,20,13,10,18,17,14,15,15
worker,27,30,21,22,26,25,21,20,22,21,19,25,20,21,28,21,29,16,23,26,21,20,25,16,26,18,18,21,29,12
worker,28,22,30,26,41,22,24,34,15,20,32,22,26,27,35,22,22,27,19,26,18,16,31,26,24,22,25,34,29,15
worker,31,31,21,26,37,25,25,27,27,28,22,25,23,18,31,23,24,31,36,41,21,16,22,28,23,37,30,39,32,24
worker,29,38,26,31,28,26,36,25,30,28,30,22,42,26,26,31,35,32,24,40,18,28,42,36,30,30,30,37,30,41
soldier,13,16,21,19,23,16,12,12,14,14,22,24,12,12,12,12,16,16,13,12,22,15,16,12,11,26,15,25,10,15
soldier,22,20,29,20,26,15,19,21,16,10,28,13,15,15,20,17,17,23,18,20,16,18,19,26,11,19,23,19,16,14
soldier,13,14,15,8,7,16,6,11,11,11,12,6,11,26,16,20,14,16,13,11,15,16,8,14,14,12,25,13,13,17
worker,26,30,40,36,37,28,24,28,29,31,22,32,33,28,31,37,20,23,22,29,26,31,26,35,20,32,40,35,29,30
soldier,14,8,22,7,19,17,11,17,12,16,11,9,18,13,11,16,19,15,11,22,10,11,20,13,13,10,12,13,9,9
worker,36,24,28,36,33,28,32,34,18,22,25,25,26,30,41,27,21,25,28,23,24,27,35,28,25,36,28,23,28,27
breeder,8,7,5,4,3,3,9,1,4,2,4,5,5,2,8,10,4,7,7,7,4,8,13,4,4,10,3,7,5,8
worker,32,27,38,25,33,22,28,25,27,29,19,30,43,30,23,36,33,31,26,37,27,17,31,34,24,31,40,27,26,32
breeder,12,7,13,4,6,12,6,9,2,10,4,4,5,4,4,7,10,11,5,11,9,6,10,6,5,6,11,6,10,6
worker,30,28,41,25,26,26,16,26,24,30,24,25,24,28,28,34,29,23,25,36,32,24,37,40,26,38,37,32,45,26
breeder,4,5,12,8,7,7,9,7,3,6,7,9,8,8,6,8,7,5,6,9,10,7,9,10,7,5,7,5,12,2
breeder,5,4,6,6,11,7,8,5,4,5,13,4,8,4,3,6,5,6,10,2,4,5,12,5,4,4,5,6,6,8
soldier,8,12,12,16,16,13,15,9,15,14,13,14,14,9,13,15,26,14,7,16,16,15,20,14,16,18,14,16,18,18
soldier,13,16,16,17,16,18,9,15,15,14,23,11,13,13,12,9,19,11,21,16,16,13,19,15,14,19,18,24,14,8
worker,18,25,33,32,19,26,25,35,22,23,20,28,19,24,25,33,24,23,21,31,29,21,25,34,20,34,31,27,23,20
worker,33,16,30,19,24,28,38,30,28,29,19,32,25,35,26,28,31,30,29,32,33,25,37,27,28,38,30,37,22,28
worker,26,38,43,28,38,31,41,30,30,33,26,31,24,33,35,30,28,26,22,30,31,32,46,26,22,32,35,32,29,29
soldier,15,14,17,13,12,20,12,14,17,10,17,12,14,8,14,22,14,7,9,15,19,15,15,17,15,19,11,13,20,16
worker,21,28,25,27,26,24,31,18,25,29,32,24,30,22,20,23,32,34,26,34,16,25,26,32,23,31,28,36,41,31
soldier,13,18,17,13,5,18,10,18,12,14,14,14,16,14,13,17,9,16,19,11,15,15,8,13,11,13,13,21,13,15
soldier,19,13,30,22,19,14,19,11,15,19,14,15,15,15,15,23,11,22,11,16,11,8,19,15,12,10,20,28,14,17
breeder,7,6,9,13,8,3,3,9,4,5,5,8,8,3,6,7,7,4,1,6,11,2,4,4,6,8,5,7,5,6
soldier,13,10,25,25,12,19,27,14,21,10,11,15,23,12,18,14,15,22,14,22,16,20,16,16,14,17,37,24,14,18
breeder,8,5,7,6,2,8,6,6,7,7,7,5,11,9,9,3,4,10,12,8,6,6,10,5,8,10,11,8,5,4
breeder,8,2,8,6,9,7,9,3,7,6,11,4,8,7,5,5,8,5,10,10,5,9,6,6,5,10,4,17,4,12
worker,24,22,29,34,27,19,36,22,26,40,29,19,21,29,22,28,24,31,27,33,21,27,35,23,27,43,37,40,32,33
breeder,4,4,6,1,8,2,7,6,4,8,7,4,5,7,6,3,2,4,3,7,7,3,5,7,6,5,8,4,12,5
soldier,15,13,20,12,12,17,13,11,16,17,14,26,17,14,21,21,16,13,21,13,10,13,18,8,11,13,24,18,14,16
worker,22,25,28,20,28,20,31,18,19,30,17,15,29,21,27,27,17,22,26,33,20,20,24,22,27,20,29,24,21,21
breeder,5,5,7,7,7,4,7,7,3,4,2,3,9,3,2,1,3,9,1,2,4,4,4,6,6,3,7,5,5,6
worker,33,34,32,27,27,40,29,30,23,27,31,19,23,24,26,26,29,31,29,31,29,35,33,35,24,25,40,32,38,29
breeder,7,5,9,6,7,4,9,15,7,5,6,3,10,7,4,4,9,9,2,7,6,3,1,7,5,10,10,11,7,12
worker,31,26,48,28,38,26,29,32,24,31,27,26,29,33,21,27,22,27,23,33,37,24,24,31,25,28,32,34,32,25
worker,21,20,30,23,31,20,22,23,15,25,21,24,33,28,29,26,20,29,20,26,22,16,20,34,29,25,31,29,21,25
breeder,5,5,2,3,3,4,9,4,4,7,4,4,4,6,5,3,4,5,3,4,4,9,5,7,6,5,6,5,7,3
soldier,18,16,17,20,14,18,17,14,9,18,17,10,7,13,18,18,18,19,14,13,17,17,15,14,16,10,18,20,19,12
breeder,3,2,7,2,7,6,11,5,4,5,1,6,7,4,6,5,4,3,2,6,2,7,6,4,4,4,5,5,5,6
worker,30,24,34,30,31,33,37,28,33,32,36,40,37,34,23,32,35,33,30,38,32,33,42,34,23,34,25,35,31,44
worker,23,32,15,22,38,26,23,18,27,20,16,22,28,23,24,29,30,27,16,28,34,22,22,34,22,26,25,33,30,16
soldier,12,13,18,9,10,16,12,11,13,11,13,8,12,14,13,14,7,9,9,16,15,8,14,11,9,9,11,6,10,8
breeder,4,4,7,9,3,5,5,5,4,2,6,3,1,5,8,1,9,6,5,4,6,3,2,5,4,3,9,5,4,3
breeder,5,1,10,11,6,6,6,5,5,8,2,5,7,6,6,5,5,7,6,6,7,7,7,7,4,5,9,8,1,7
soldier,14,9,20,15,20,6,13,15,14,19,13,19,19,14,12,14,19,22,12,13,19,10,24,20,15,18,20,23,18,21
breeder,7,8,9,13,5,12,9,8,9,9,3,9,8,12,4,6,4,9,5,5,6,7,7,7,7,5,9,10,8,7
